all|all
abnormal|abnormal rapid eye movement (rem) sleep
abnormal|abnormal rapid eye movement sleep
impaired|impaired vibratory sensation
decreased|decreased vibration sense
decreased|decreased vibratory sense
diminished|diminished vibratory sense
impaired|impaired vibratory sense
spastic|spastic ataxia
abnormality|abnormality of the cerebral white matter
cerebral|cerebral white matter abnormalities
white|white matter abnormalities
white|white matter alterations
spasticity|spasticity of pharyngeal muscles
spinocerebellar|spinocerebellar tract degeneration
degeneration|degeneration of the spinocerebellar tracts
spinocerebellar|spinocerebellar degeneration
calcification|calcification of the small brain vessels
progressive|progressive inability to walk
diffuse|diffuse cerebral atrophy
cerebral|cerebral atrophy, diffuse
semilobar|semilobar holoprosencephaly
malformation|malformation of brainstem structures
limb|limb hypertonia
spastic|spastic tetraplegia
spastic|spastic quadriplegia
alzheimer|alzheimer disease
brain|brain stem compression
cerebral|cerebral calcification
brain|brain calcification
intracerebral|intracerebral calcifications
intracranial|intracranial calcification
intracranial|intracranial calcifications
waddling|waddling gait
'waddling'|'waddling' gait
increased|increased intracranial pressure
abnormality|abnormality of the periventricular white matter
hypnagogic|hypnagogic hallucinations
hypsarrhythmia|hypsarrhythmia
hypsarrhythmia|hypsarrhythmia by eeg
areflexia|areflexia of lower limbs
absent|absent lower limb tendon reflexes
areflexia|areflexia in lower limbs
areflexia|areflexia of the lower limbs
areflexia,|areflexia, lower limbs
cataplexy|cataplexy
deficit|deficit in nonword repetition
falls|falls
granulovacuolar|granulovacuolar degeneration
neuronal|neuronal loss in central nervous system
neuronal|neuronal loss
axial|axial dystonia
abnormal|abnormal posturing
abnormal|abnormal cortical gyration
abnormal|abnormal gyration
cerebral|cerebral gyral anomalies
abnormality|abnormality of the cerebral cortex
cortical|cortical dysplasia
neocortical|neocortical dysplasia
inability|inability to walk
olivopontocerebellar|olivopontocerebellar atrophy
olivopontocerebellar|olivopontocerebellar degeneration
retrocollis|retrocollis
patchy|patchy demyelination of subcortical white matter
incomprehensible|incomprehensible speech
parkinsonism|parkinsonism with favorable response to dopaminergic medication
deficit|deficit in phonologic short-term memory
absent|absent facial hair
trichodysplasia|trichodysplasia
highly|highly arched eyebrow
arched|arched eyebrows
broad,|broad, arched eyebrows
high,|high, rounded eyebrows
high-arched|high-arched eyebrows
thick,|thick, flared eyebrows
absent|absent pubic hair
hypoplastic|hypoplastic nipples
nipple|nipple hypoplasia
small|small nipples
supernumerary|supernumerary nipples
accessory|accessory nipple
accessory|accessory nipples
supernumerary|supernumerary nipple
absent|absent nipples
low-set|low-set nipples
constrictive|constrictive pericarditis
malformation|malformation of the heart and great vessels
cardiovascular|cardiovascular malformations
congenital|congenital heart defect
congenital|congenital heart defects
congenital|congenital heart disease
intestinal|intestinal malrotation
malrotation|malrotation
steatorrhea|steatorrhea
achalasia|achalasia
episodic|episodic vomiting
hematochezia|hematochezia
bloody|bloody diarrhea
rectal|rectal bleeding
episodic|episodic abdominal pain
tracheoesophageal|tracheoesophageal fistula
intussusception|intussusception
abnormality|abnormality of the stomach
gastroparesis|gastroparesis
gastrointestinal|gastrointestinal dysmotility
volvulus|volvulus
chronic|chronic atrophic gastritis
colitis|colitis
intestinal|intestinal bleeding
abnormality|abnormality of the peritoneum
peritonitis|peritonitis
inflammation|inflammation of the peritoneum
projectile|projectile vomiting
duodenal|duodenal ulcer
gastrointestinal|gastrointestinal atresia
paralytic|paralytic ileus
polyphagia|polyphagia
hyperphagia|hyperphagia
voracious|voracious appetite
gastric|gastric ulcer
stomach|stomach ulcer
intestinal|intestinal lymphangiectasia
pancreatic|pancreatic hypoplasia
hypoplastic|hypoplastic pancreas
ileus|ileus
abnormality|abnormality of the vasculature
vascular|vascular abnormalities
head|head titubation
titubation|titubation
hyporeflexia|hyporeflexia of lower limbs
hyporeflexia|hyporeflexia in lower limbs
hyporeflexia|hyporeflexia of the lower limbs
hyporeflexia,|hyporeflexia, lower limbs
hyporeflexia/areflexia|hyporeflexia/areflexia in lower limbs
paresis|paresis of extensor muscles of the big toe
gastrointestinal|gastrointestinal telangiectasia
hepatic|hepatic necrosis
bowel|bowel incontinence
anal|anal incontinence
encopresis|encopresis
fecal|fecal incontinence
celiac|celiac disease
cholestatic|cholestatic liver disease
congenital|congenital hepatic fibrosis
biliary|biliary cirrhosis
hepatic|hepatic periportal necrosis
hypotension|hypotension
arterial|arterial hypotension
low|low blood pressure
aortic|aortic root dilatation
increased|increased aortic root diameter
aneurysm|aneurysm
varicose|varicose veins
atherosclerosis|atherosclerosis
dissecting|dissecting aortic aneurysm
overriding|overriding aorta
dextroposition|dextroposition of aorta
venous|venous abnormality
deep|deep venous thrombosis
deep|deep vein thrombosis
multiple|multiple deep venous thrombosis
venous|venous varicosities of celiac and mesenteric vessels
right|right aortic arch with mirror image branching
gastrointestinal|gastrointestinal arteriovenous malformation
fat|fat malabsorption
ascending|ascending aortic aneurysm
low-to-normal|low-to-normal blood pressure
vasculitis|vasculitis
arteriosclerosis|arteriosclerosis
atheromatosis|atheromatosis
aneurysm|aneurysm of an abdominal artery
cerebral|cerebral ischemia
superficial|superficial thrombophlebitis
budd-chiari|budd-chiari syndrome
hypertension|hypertension associated with pheochromocytoma
peripheral|peripheral thrombosis
arteriovenous|arteriovenous fistulas of celiac and mesenteric vessels
neonatal|neonatal respiratory distress
infantile|infantile respiratory distress
newborn|newborn respiratory distress
respiratory|respiratory distress, neonatal
abnormality|abnormality of pelvic girdle bone morphology
wormian|wormian bones
extra|extra sutural bones
aortic|aortic dissection
abnormality|abnormality of calvarial morphology
scoliosis|scoliosis
spondyloepimetaphyseal|spondyloepimetaphyseal dysplasia
skeletal|skeletal dysplasia
bone|bone pain
multiple|multiple epiphyseal dysplasia
spondyloepiphyseal|spondyloepiphyseal dysplasia
spondyloepiphyseal|spondyloepiphyseal dysplasia tarda
epiphyseal|epiphyseal dysplasia
spondylometaphyseal|spondylometaphyseal dysplasia
increased|increased susceptibility to fractures
abnormal|abnormal susceptibility to fractures
bone|bone fragility
increased|increased bone fragility
increased|increased tendency to fractures
painless|painless fractures due to injury
delayed|delayed epiphyseal ossification
delayed|delayed epiphyseal maturation
delayed|delayed opacification of the epiphyses
detailed|detailed epiphyseal ossification
epiphyseal|epiphyseal ossification delay
neoplasm|neoplasm
neoplasia|neoplasia
oncological|oncological abnormality
oncology|oncology
lymphoma|lymphoma
pheochromocytoma|pheochromocytoma
nephroblastoma|nephroblastoma (wilms tumor)
nephroblastoma|nephroblastoma
wilm's|wilm's tumor
wilms|wilms tumor
paraganglioma|paraganglioma
carotid|carotid body tumors
chemodectoma|chemodectoma
chemodectomas|chemodectomas
osteosarcoma|osteosarcoma
osteogenic|osteogenic sarcoma
basal|basal cell carcinoma
basal|basal cell carcinomas
basal|basal cell epithelioma
basal|basal cell nevus
basalioma|basalioma
gastrointestinal|gastrointestinal carcinoma
coxa|coxa valga
cloverleaf|cloverleaf skull
kleeblattschaedel|kleeblattschaedel
small|small foramen magnum
skull|skull asymmetry
abnormality|abnormality of the sella turcica
j-shaped|j-shaped sella turcica
j-shaped|j-shaped sella
deformed|deformed sella turcica
broad|broad skull
abnormality|abnormality of the calvaria
thickened|thickened calvaria
calvarial|calvarial thickening
calvarium|calvarium thickened
increased|increased calvarial thickness
thick|thick calvaria
thick|thick calvarium
thickened|thickened calcaria
thickened|thickened calvarium
thickened|thickened cranial vault
thickened|thickened cranium
thickening|thickening of the calvaria
prenatal|prenatal maternal abnormality
abnormality|abnormality of the frontal sinuses
absent|absent frontal sinuses
absence|absence of frontal sinuses
absent|absent frontal sinus
absent|absent paranasal sinuses
large|large sella turcica
enlarged|enlarged sella turcica
large,|large, prominent sella turcica
platybasia|platybasia
hypoplastic|hypoplastic facial bones
abnormality|abnormality of the skull base
sclerosis|sclerosis of skull base
marked|marked sclerosis of skull base
sclerosis|sclerosis of the skull base
sclerotic|sclerotic of skull base
symmetrical,|symmetrical, oval parietal bone defects
symmetrical,|symmetrical, oval defects in the parietal bone
abnormality|abnormality of the parietal bone
parietal|parietal foramina
abnormality|abnormality of the foramen magnum
large|large foramen magnum
wide|wide foramen magnum
abnormality|abnormality of skull ossification
high,|high, narrow palate
palate|palate telangiectasia
palate|palate telangiectases
palate|palate teleangiectases
prominent|prominent median palatal raphe
commissural|commissural lip pit
commissural|commissural pit
exaggerated|exaggerated median tongue furrow
downturned|downturned corners of mouth
downturned|downturned corners of the mouth
downturned|downturned mouth
abnormality|abnormality of the immune system
immunological|immunological abnormality
lymphadenopathy|lymphadenopathy
lymph|lymph node hyperplasia
adrenal|adrenal overactivity
recurrent|recurrent bacterial infections
bacterial|bacterial infections, recurrent
frequent|frequent bacterial infections
frequent|frequent pyogenic infections
increased|increased susceptibility to bacterial infections
recurrent|recurrent major bacterial infections
recurrent|recurrent pyogenic infections
susceptibility|susceptibility to pyogenic infection
recurrent|recurrent infections
frequent|frequent infections
frequent,|frequent, severe infections
increased|increased frequency of infection
infections,|infections, recurrent
predisposition|predisposition to infections
susceptibility|susceptibility to infection
iga|iga deficiency
decreased|decreased iga
decreased|decreased immunoglobulin a
gamma-a|gamma-a globulin deficiency
low|low levels of immunoglobulin a
reduced|reduced iga levels
immunodeficiency|immunodeficiency
immune|immune deficiency
recurrent|recurrent abscess formation
absence|absence of bactericidal oxidative 'respiratory burst' in phagocytes
recurrent|recurrent aspergillus infections
aspergillus|aspergillus infections, recurrent
systemic|systemic lupus erythematosus
recurrent|recurrent staphylococcus aureus infections
staphylococcus|staphylococcus aureus infections, recurrent
chronic|chronic mucocutaneous candidiasis
chronic|chronic candidiasis of mucosa, skin and nails
mucocutaneous|mucocutaneous candidiasis
follicular|follicular hyperplasia
chronic|chronic noninfectious lymphadenopathy
defective|defective lymphocyte apoptosis
lymph|lymph node hypoplasia
abnormality|abnormality of the lymph nodes
abnormal|abnormal lymph node histology
thick|thick skull base
hypoplastic|hypoplastic frontal sinuses
underdeveloped|underdeveloped frontal sinuses
recurrent|recurrent e. coli infections
e|e coli infections
e|e coli infections, recurrent
recurrent|recurrent serratia marcescens infections
recurrent|recurrent klebsiella infections
klebsiella|klebsiella infections, recurrent
recurrent|recurrent enteroviral infections
bilateral|bilateral cleft lip and palate
bilateral|bilateral cleft lip and cleft palate
oral|oral leukoplakia
leukokeratosis|leukokeratosis
respiratory|respiratory insufficiency due to muscle weakness
decreased|decreased respiratory function due to muscle weakness
respiratory|respiratory distress due to muscle weakness
respiratory|respiratory failure due to muscle weakness
respiratory|respiratory muscle weakness
rickets|rickets
osteomalacia|osteomalacia
delayed|delayed skeletal maturation
delayed|delayed bone age
delayed|delayed bone age before puberty
delayed|delayed bone maturation
delayed|delayed skeletal development
retarded|retarded bone age
skeletal|skeletal maturation retardation
kyphoscoliosis|kyphoscoliosis
sparse|sparse bone trabeculae
thin|thin bony cortex
thin|thin cortices
osteomyelitis|osteomyelitis
osteomyelitis|osteomyelitis due to immunodeficiency
pathologic|pathologic fracture
spontaneous|spontaneous fracture
recurrent|recurrent fractures
increased|increased fracture rate
increased|increased fractures
multiple|multiple fractures
multiple|multiple spontaneous fractures
varying|varying degree of multiple fractures
osteoarthritis|osteoarthritis
generalized|generalized joint laxity
multiple|multiple exostoses
abnormal|abnormal cartilage morphology
stippled|stippled chondral calcification
relatively|relatively short spine
small|small vertebral bodies
small|small vertebrae
tracheal|tracheal stenosis
abnormality|abnormality of the trachea
tracheomalacia|tracheomalacia
bronchomalacia|bronchomalacia
upper|upper airway obstruction
recurrent|recurrent lower respiratory tract infections
chronic|chronic lung infections
lower|lower respiratory tract infections
recurrent|recurrent chest infections
tracheobronchomalacia|tracheobronchomalacia
tracheal|tracheal ectopic calcification
tracheal|tracheal calcifications
recurrent|recurrent upper respiratory tract infections
frequent|frequent upper respiratory infections
frequent|frequent upper respiratory tract infections
recurrent|recurrent upper respiratory and lower respiratory infections
recurrent|recurrent upper respiratory infection
recurrent|recurrent upper respiratory infections
upper|upper respiratory tract infections
upper|upper respiratory tract infections, recurrent
tachypnea|tachypnea
increased|increased respiratory rate or depth of breathing
polypnea|polypnea
neonatal|neonatal breathing dysregulation
hypoventilation|hypoventilation
alveolar|alveolar hypoventilation
reduced|reduced vital capacity
decreased|decreased vital capacity
abnormal|abnormal pattern of respiration
abnormal|abnormal respiratory patterns
functional|functional respiratory abnormality
osteolysis|osteolysis
increased|increased bone resorption
osteolytic|osteolytic defects of bones
congenital|congenital contractures
congenital|congenital joint contractures
arthrogryposis|arthrogryposis multiplex congenita
arthrogryposis|arthrogryposis
arthrogryposis|arthrogryposis multiplex
arthrogryposis,|arthrogryposis, congenital
multiple|multiple congenital contractures
accelerated|accelerated bone age after puberty
kyphosis|kyphosis
gibbus|gibbus deformity
hyperkyphosis|hyperkyphosis
round|round back
dumbbell-shaped|dumbbell-shaped metaphyses
dumbbell|dumbbell shaped metaphyses
coxa|coxa vara
abnormality|abnormality of limb bone morphology
limb|limb abnormality
abnormality|abnormality of the lower limb
lower|lower limb deformities
abnormality|abnormality of the knees
genu|genu recurvatum
genu|genu recurvata
abnormality|abnormality of the upper limb
abnormality|abnormality of the radius
neuropathic|neuropathic arthropathy
hyperplasia|hyperplasia of the femoral trochanters
hyperplastic|hyperplastic femoral trochanters
abnormality|abnormality of the femur
abnormality|abnormality of the femora
caudal|caudal appendage
coccygeal|coccygeal tail
halberd-shaped|halberd-shaped pelvis
hip|hip dislocation
dislocated|dislocated hips
dislocation|dislocation of hip
hip|hip subluxation
multiple|multiple joint contractures
arthralgia|arthralgia
arthralgias|arthralgias
joint|joint pain
long|long coccyx
calcific|calcific stippling
discrete|discrete calcific stippling
cystic|cystic angiomatosis of bone
lytic|lytic cystic lesions in appendicular bones
flared|flared femoral metaphysis
aspiration|aspiration
bladder|bladder exstrophy
recurrent|recurrent bronchitis
bronchitis,|bronchitis, recurrent
urinary|urinary bladder sphincter dysfunction
sphincter|sphincter disturbance
sphincter|sphincter disturbances
lymphadenitis|lymphadenitis
recurrent|recurrent fungal infections
recurrent|recurrent burkholderia cepacia infections
abnormality|abnormality of t cells
cellular|cellular immune defect
defective|defective cellular immunity
increased|increased number of peripheral cd3+ t cells
abnormality|abnormality of b cells
impaired|impaired memory b-cell generation
moderately|moderately depressed antibody response to polysaccharide antigens
absence|absence of lymph node germinal center
lymph|lymph nodes lack germinal center
lymphoid|lymphoid germinal center defect
igm|igm deficiency
decreased|decreased igm
decreased|decreased igm level
reduced|reduced igm levels
increased|increased number of cd4-/cd8- t cells expressing alpha/beta t-cell receptors
increased|increased proportion of hla dr+ and cd57+ t cells
genu|genu valgum
genu|genu valga
genu|genu valgum or genu varum
genu|genu valgus
genua|genua valga
knock|knock knees
meningioma|meningioma
meligioma|meligioma
mengioma|mengioma
mengiomia|mengiomia
menigiom|menigiom
menigioma|menigioma
rhabdomyosarcoma|rhabdomyosarcoma
squamous|squamous cell carcinoma
melanoma|melanoma
malignant|malignant melanoma
bladder|bladder carcinoma
myelodysplasia|myelodysplasia
myelodysplastic|myelodysplastic syndrome
paraganglioma|paraganglioma of head and neck
paragangliomas,|paragangliomas, head and neck 
medullary|medullary thyroid carcinoma
hypoplastic|hypoplastic iliac wings
hypoplastic|hypoplastic iliac alae
hypoplastic|hypoplastic iliac wing
small|small iliac wings
abnormality|abnormality of the ilium
iliac|iliac abnormalities
narrow|narrow iliac wings
flared|flared iliac wings
flared|flared iliac wing
obstructive|obstructive sleep apnea
central|central apnea
central|central apnoea
apneic|apneic episodes precipitated by illness, fatigue, stress
episodic|episodic ataxia induced by febrile illness or stress
exertional|exertional dyspnea
episodic|episodic tachypnea
hyperpnea,|hyperpnea, episodic
nocturnal|nocturnal hypoventilation
early|early respiratory failure
anisospondyly|anisospondyly
respiratory|respiratory difficulties
sudden|sudden episodic apnea
hyperventilation|hyperventilation
hepatoblastoma|hepatoblastoma
medulloblastoma|medulloblastoma
vagal|vagal paraganglioma
vagal|vagal nerve tumors
vagal|vagal nerve tumors (glomus vagale)
ependymoma|ependymoma
thyroid|thyroid carcinoma
uterine|uterine leiomyosarcoma
pituitary|pituitary adenoma
neoplasm|neoplasm of the pancreas
cancer|cancer of the pancreas
neoplasia|neoplasia of the pancreas
pancreatic|pancreatic cancer
papillary|papillary thyroid carcinoma
papillary|papillary carcinoma of thyroid
thyroid|thyroid papillary carcinoma
neoplasm|neoplasm of the liver
liver|liver cancer
parathyroid|parathyroid adenoma
parathyroid|parathyroid adenomas
embryonal|embryonal neoplasm
embryonal|embryonal neoplasia
embryonal|embryonal tumors
hypokalemia|hypokalemia
hypocalcemia|hypocalcemia
hypocalcaemia|hypocalcaemia
hyponatremia|hyponatremia
hyperbilirubinemia|hyperbilirubinemia
hyperphosphatemia|hyperphosphatemia
microhematuria|microhematuria
microscopic|microscopic hematuria
conjugated|conjugated hyperbilirubinemia
direct|direct hyperbilirubinemia
generalized|generalized aminoaciduria
generalized|generalized nonspecific aminoaciduria
elevated|elevated hepatic transaminases
abnormal|abnormal liver enzymes
abnormal|abnormal liver function
abnormal|abnormal liver function tests
elevated|elevated liver enzymes
elevated|elevated serum transaminases
elevated|elevated transaminases
increased|increased liver enzymes
increased|increased liver function tests
increased|increased transaminases
subclinical|subclinical abnormal liver function tests
methylmalonic|methylmalonic acidemia
myoglobinuria|myoglobinuria
increased|increased urinary chloride
abnormality|abnormality of chromosome segregation
hypomagnesemia|hypomagnesemia
hypermagnesemia|hypermagnesemia
ketonuria|ketonuria
ketonaciduria|ketonaciduria
decreased|decreased circulating acth level
abnormality|abnormality of the cerebrospinal fluid
abnormal|abnormal csf findings
abnormality|abnormality of the csf
increased|increased csf protein
cerebrospinal|cerebrospinal fluid protein increased
cerebrospinal|cerebrospinal fluid with increased protein
elevated|elevated cerebrospinal fluid protein
elevated|elevated csf protein
increased|increased protein in csf
spinal|spinal fluid protein elevated
rheumatoid|rheumatoid factor positive
decreased|decreased circulating aldosterone level
decreased|decreased aldosterone
decreased|decreased serum aldosterone
thyroid-stimulating|thyroid-stimulating hormone excess
elevated|elevated thyroid stimulating hormone
elevated|elevated thyroid stimulating hormone levels
high|high tsh
increased|increased serum thyroid-stimulating hormone
increased|increased thyroid-stimulating hormone
tsh|tsh excess
abnormality|abnormality of thyroid physiology
histidinuria|histidinuria
decreased|decreased activity of the pyruvate dehydrogenase (pdh) complex
pyruvate|pyruvate dehydrogenase complex deficiency
leydig|leydig cell insensitivity to gonadotropin
thyroid|thyroid hormone receptor defect
end-organ|end-organ unresponsiveness to thyroid hormone
resistance|resistance to thyroid hormone
thyroid|thyroid hormone resistance
aldehyde|aldehyde oxidase deficiency
ventral|ventral hernia
distal|distal sensory impairment
decreased|decreased distal sensation
distal|distal sensation loss
distal|distal sensory impairment in lower limbs
distal|distal sensory impairment of the lower extremities
distal|distal sensory loss
distal|distal sensory loss, upper and lower limbs
loss|loss of distal sensation
hemivertebrae|hemivertebrae
hemivertebra|hemivertebra
lumbar|lumbar hyperlordosis
exaggerated|exaggerated lumbar lordosis
increased|increased lumbar lordosis
lumbar|lumbar lordosis
prominent|prominent lumbar lordosis
thoracic|thoracic kyphosis
accentuated|accentuated thoracic kyphosis
exaggerated|exaggerated thoracic kyphosis
thoracic|thoracic scoliosis
thoracolumbar|thoracolumbar scoliosis
scoliosis,|scoliosis, thoracolumbar
intervertebral|intervertebral space narrowing
narrow|narrow intervertebral disc spaces
narrow|narrow intervertebral spaces
supernumerary|supernumerary vertebrae
cervical|cervical kyphosis
vertebral|vertebral fusion
fused|fused vertebrae
fusion|fusion of vertebral bodies
spinal|spinal fusion
vertebral|vertebral body fusion
fused|fused cervical vertebrae
cervical|cervical vertebral fusion
fusion|fusion of cervical vertebrae
partial|partial absence of cerebellar vermis
vertebral|vertebral compression fractures
fractures|fractures of vertebral bodies
vertebral|vertebral body compression
vertebral|vertebral collapse
vertebral|vertebral compression
vertebral|vertebral compression or collapse
granulomatosis|granulomatosis
immune|immune dysregulation
impaired|impaired ig class switch recombination
impaired|impaired b-lymphocyte isotype switching
impaired|impaired ig class-switch recombination (csr)
autoimmunity|autoimmunity
autoimmune|autoimmune disease
autoimmune|autoimmune disorders
dysgammaglobulinemia|dysgammaglobulinemia
abnormal|abnormal delayed hypersensitivity skin test
cutaneous|cutaneous anergy
absence|absence of delayed hypersensitivity skin test
lack|lack of delayed skin hypersensitivity reaction
cubitus|cubitus valgus
genu|genu varum
bow|bow legs
bow-leggedness|bow-leggedness
genu|genu vara
genua|genua vara
absent|absent microvilli on the surface of peripheral blood lymphocytes
reduced|reduced delayed hypersensitivity
decreased|decreased reactivity to skin test antigens
deficiency|deficiency of delayed skin hypersensitivity
impaired|impaired delayed hypersensitivity
abnormality|abnormality of the forearm
radioulnar|radioulnar synostosis
fused|fused forearm bones
aplasia/hypoplasia|aplasia/hypoplasia involving the central nervous system
bowing|bowing of the legs
bowed|bowed legs
bowed|bowed lower limbs
femoral|femoral bowing
abnormality|abnormality of the calf
tibial|tibial bowing
bowed|bowed tibia
bowing|bowing of the tibia
micromelia|micromelia
hypoplasia|hypoplasia of the radius
hypoplastic|hypoplastic radii
hypoplastic|hypoplastic radius
radial|radial hypoplasia
short|short radii
short|short radius
shortening|shortening of radius
radial|radial bowing
bowed|bowed radii
bowed|bowed radius
elbow|elbow flexion contracture
contractures|contractures of elbows
contractures|contractures of the elbows
elbow|elbow contracture
elbow|elbow contractures
elbow|elbow flexion contractures
elbow|elbow flexion deformity
fibular|fibular aplasia
absent|absent fibulae
absent-hypoplastic|absent-hypoplastic fibulae
abnormality|abnormality of the fibula
abnormality|abnormality of the tibia
limited|limited elbow movement
decreased|decreased elbow mobility
limited|limited elbow mobility
restricted|restricted elbow motion
abnormality|abnormality of the ulna
patellar|patellar dislocation
dislocated|dislocated patellae
dislocation|dislocation of patella
glomus|glomus jugular tumor
glomus|glomus jugulare tumor
glomus|glomus jugulare tumors
breast|breast carcinoma
breast|breast cancer
colon|colon cancer
ganglioneuroma|ganglioneuroma
neuroblastoma|neuroblastoma
enhanced|enhanced neurotoxicity of vincristine
prolonged|prolonged bleeding time
increased|increased bleeding time
abnormality|abnormality of the musculature
muscular|muscular abnormality
bulging|bulging epiphyses
flared|flared metaphyses
flared,|flared, widened metaphyses
marked|marked metaphyseal flaring of long bones
metaphyseal|metaphyseal flaring
metaphyseal|metaphyseal flaring of long bones
metaphyseal|metaphyseal splaying
splayed|splayed metaphyses
metaphyseal|metaphyseal widening
wide|wide metaphyses
widened|widened long bone metaphyses
widened|widened metaphyses
frayed,|frayed, irregular metaphyses
frayed,|frayed, irregular, metaphyses
abnormality|abnormality of the wrist
abnormalities|abnormalities of the wrists
enlargement|enlargement of the wrists
metaphyseal|metaphyseal cupping
hypoplasia|hypoplasia of the ulna
hypoplastic|hypoplastic ulna
short|short ulna
short|short ulnae
ulnar|ulnar hypoplasia
bowing|bowing of limbs due to multiple fractures
bowed|bowed limbs due to multiple fractures
irregular|irregular metaphyses
metaphyseal|metaphyseal irregularities
metaphyseal|metaphyseal irregularity
short|short long bones
long|long bone shortening
short|short tubular bones
short,|short, tubular long bones
shortened|shortened long tubular bones
mesomelia|mesomelia
mesomelic|mesomelic limb shortening
mesomelic|mesomelic shortening of limbs
symmetric|symmetric mesomelic limb shortness
abnormality|abnormality of the ankles
enlargement|enlargement of the ankles
ulnar|ulnar bowing
bowed|bowed ulna
curved|curved ulna
short|short femoral neck
short|short femoral necks
short,|short, hypoplastic femoral necks
diaphyseal|diaphyseal sclerosis
enlarged|enlarged joints
fibular|fibular hypoplasia
hypoplastic|hypoplastic fibula
short|short fibula
short|short fibulae
arthropathy|arthropathy
humeroradial|humeroradial synostosis
humeral|humeral radial synostosis
humeral-radial|humeral-radial synostosis
radiohumeral|radiohumeral synostosis of elbow
synostosis|synostosis of radius and humerus
elbow|elbow dislocation
dislocations|dislocations of the elbows
elbow|elbow dislocations
abnormality|abnormality of the shoulder
shoulder|shoulder flexion contracture
abnormality|abnormality of the patella
patellar|patellar abnormality
radial|radial head subluxation
radial|radial subluxation
radial-head|radial-head subluxation
ulnar|ulnar deviation of the wrist
ulnar|ulnar deviation of wrists
enlarged|enlarged metaphyses
epiphyseal|epiphyseal deformities of tubular bones
tetraamelia|tetraamelia
tetra-amelia|tetra-amelia
abnormality|abnormality of the radioulnar joints
abnormality|abnormality of the humerus
abnormality|abnormality of the humeri
patellar|patellar hypoplasia
hypoplastic|hypoplastic patellae
small|small patella
small|small patellae
limited|limited knee extension
madelung|madelung deformity
madelung|madelung wrist deformity
madelung-like|madelung-like forearm deformities
elbow|elbow ankylosis
flattened|flattened epiphyses
hypercalcemia|hypercalcemia
hypercalcaemia|hypercalcaemia
hypoalbuminemia|hypoalbuminemia
hypoalbuminaemia|hypoalbuminaemia
hyperglycemia|hyperglycemia
hypoproteinemia|hypoproteinemia
glycosuria|glycosuria
glucosuria|glucosuria
hyperlipidemia|hyperlipidemia
defective|defective dna repair after ultraviolet radiation damage
hydroxyprolinuria|hydroxyprolinuria
elevated|elevated urinary hydroxyproline
increased|increased urinary potassium
dislocated|dislocated radial head
dislocation|dislocation of radial head
dislocation|dislocation of the radial head
radial|radial dislocation
radial|radial head dislocation
radial|radial head dislocation/subluxation
fractures|fractures of the long bones
increased|increased long bone fracture rate
disproportionately|disproportionately long fibulae
disproportionately|disproportionately long fibula
acromesomelia|acromesomelia
premature|premature osteoarthritis
premature|premature arthritis
hamstring|hamstring contractures
hypoplasia|hypoplasia of the capital femoral epiphysis
small|small capital femoral epiphyses
small|small femoral capital epiphyses
small|small proximal femoral epiphyses
trophic|trophic limb changes
limited|limited hip extension
restricted|restricted hip extension
septic|septic arthritis
short|short femur
femoral|femoral hypoplasia
hypoplasia|hypoplasia of the femora
short|short femurs
fibular|fibular overgrowth
slender|slender long bone
gracile|gracile long bones
long|long bones slender
slender,|slender, gracile long tubular bones
thin|thin long bones
thin,|thin, gracile long bones
increased|increased carrying angle
abnormal|abnormal cortical bone morphology
abnormal|abnormal compact bone morphology
abnormality|abnormality of cortical bone
protuberances|protuberances at ends of long bones
subperiosteal|subperiosteal erosions due to secondary hyperparathyroidism
abnormality|abnormality of cholesterol metabolism
hyperglycinuria|hyperglycinuria
glycinuria|glycinuria
hyperphosphaturia|hyperphosphaturia
phosphaturia|phosphaturia
abnormality|abnormality of urine homeostasis
abnormality|abnormality of ion homeostasis
electrolyte|electrolyte disorders
abnormality|abnormality of serum amino acid levels
hypochloremia|hypochloremia
abnormal|abnormal cardiological findings
abnormal|abnormal ekg
abnormal|abnormal echocardiogram
abnormality|abnormality of circulating hormone level
increased|increased circulating cortisol level
abnormality|abnormality of lipid metabolism
limb|limb joint contracture
limb|limb contractures
hypercholesterolemia|hypercholesterolemia
elevated|elevated serum cholesterol
elevated|elevated total cholesterol
increased|increased total cholesterol
reduced|reduced factor viii activity
low-molecular-weight|low-molecular-weight proteinuria
hypocalciuria|hypocalciuria
lactic|lactic acidosis
hyperlacticacidemia|hyperlacticacidemia
lactic|lactic acidemia
lacticacidemia|lacticacidemia
lacticacidosis|lacticacidosis
abnormal|abnormal peripheral myelination
cystinuria|cystinuria
abnormality|abnormality of the spinocerebellar tracts
abnormality|abnormality of peripheral nerve conduction
sensory|sensory and motor nerve conduction abnormalities
prolinuria|prolinuria
increased|increased blood urea nitrogen (bun)
increased|increased blood urea nitrogen
panhypogammaglobulinemia|panhypogammaglobulinemia
panypogammaglobulinemia|panypogammaglobulinemia
t-wave|t-wave inversion in the right precordial leads
hyperbetalipoproteinemia|hyperbetalipoproteinemia
increased|increased beta-lipoproteins
increased|increased circulating low-density lipoprotein cholesterol
increased|increased ldl cholesterol
excessive|excessive purine production
increased|increased serum serotonin
decreased|decreased adenosylcobalamin
decreased|decreased adenosylcobalamin (adocbl)
hypocholesterolemia|hypocholesterolemia
